Name,Sector
ABC,Health Care
AMGN,Health Care
ANTM,Health Care
BCR,Health Care
BAX,Health Care
BDX,Health Care
BIIB,Health Care
BSX,Health Care
BMY,Health Care
CAH,Health Care
CELG,Health Care
CNC,Health Care
CI,Health Care
COO,Health Care
CVS,Health Care
DVA,Health Care
XRAY,Health Care
EW,Health Care
EVHC,Health Care
ESRX,Health Care
GILD,Health Care
HCA,Health Care
HSIC,Health Care
HOLX,Health Care
HUM,Health Care
IDXX,Health Care
INCY,Health Care
ISRG,Health Care
JNJ,Health Care
LH,Health Care
LLY,Health Care
MCK,Health Care
MDT,Health Care
MRK,Health Care
MYL,Health Care
PDCO,Health Care
PRGO,Health Care
PFE,Health Care
DGX,Health Care
REGN,Health Care
RMD,Health Care
SYK,Health Care
UNH,Health Care
UHS,Health Care
VAR,Health Care
VRTX,Health Care
WBA,Health Care
ZBH,Health Care
ZTS,Health Care
AKAM,Miscellaneous
ADS,Miscellaneous
EBAY,Miscellaneous
FIS,Miscellaneous
GPN,Miscellaneous
MA,Miscellaneous
NLSN,Miscellaneous
PYPL,Miscellaneous
PCLN,Miscellaneous
TSS,Miscellaneous
V,Miscellaneous
WU,Miscellaneous
LNT,Public Utilities
AEE,Public Utilities
AEP,Public Utilities
AWK,Public Utilities
T,Public Utilities
CNP,Public Utilities
CTL,Public Utilities
CMS,Public Utilities
ED,Public Utilities
D,Public Utilities
DTE,Public Utilities
DUK,Public Utilities
EIX,Public Utilities
ETR,Public Utilities
ES,Public Utilities
EXC,Public Utilities
FE,Public Utilities
KMI,Public Utilities
NEE,Public Utilities
NI,Public Utilities
NRG,Public Utilities
OKE,Public Utilities
PCG,Public Utilities
PNW,Public Utilities
PPL,Public Utilities
PEG,Public Utilities
RSG,Public Utilities
SCG,Public Utilities
SRE,Public Utilities
SO,Public Utilities
VZ,Public Utilities
WM,Public Utilities
WEC,Public Utilities
WMB,Public Utilities
XEL,Public Utilities
LNT,Public Utilities
AEE,Public Utilities
AEP,Public Utilities
AWK,Public Utilities
T,Public Utilities
CNP,Public Utilities
CTL,Public Utilities
CMS,Public Utilities
ED,Public Utilities
D,Public Utilities
DTE,Public Utilities
DUK,Public Utilities
EIX,Public Utilities
ETR,Public Utilities
ES,Public Utilities
EXC,Public Utilities
FE,Public Utilities
KMI,Public Utilities
NEE,Public Utilities
NI,Public Utilities
NRG,Public Utilities
OKE,Public Utilities
PCG,Public Utilities
PNW,Public Utilities
PPL,Public Utilities
PEG,Public Utilities
RSG,Public Utilities
SCG,Public Utilities
SRE,Public Utilities
SO,Public Utilities
VZ,Public Utilities
WM,Public Utilities
WEC,Public Utilities
WMB,Public Utilities
XEL,Public Utilities
EXC,Public Utilities
FFIV,Technology
FB,Technology
FE,Public Utilities
FISV,Technology
HPE,Technology
INFO,Technology
ITW,Technology
INTC,Technology
IBM,Technology
IPG,Technology
INTU,Technology
JNPR,Technology
KMI,Public Utilities
LLL,Technology
LRCX,Technology
MCHP,Technology
MU,Technology
MSFT,Technology
MSI,Technology
NTAP,Technology
NEE,Public Utilities
NI,Public Utilities
NRG,Public Utilities
NVDA,Technology
OMC,Technology
OKE,Public Utilities
ORCL,Technology
PNR,Technology
PCG,Public Utilities
PNW,Public Utilities
PPL,Public Utilities
PEG,Public Utilities
QRVO,Technology
QCOM,Technology
RHT,Technology
RSG,Public Utilities
RHI,Technology
CRM,Technology
SCG,Public Utilities
STX,Technology
SRE,Public Utilities
SWKS,Technology
SO,Public Utilities
SYMC,Technology
SNPS,Technology
TXN,Technology
TRIP,Technology
URI,Technology
VRSN,Technology
VRSK,Technology
VZ,Public Utilities
WM,Public Utilities
WEC,Public Utilities
WDC,Technology
WMB,Public Utilities
XEL,Public Utilities
XRX,Technology
XLNX,Technology
ACN,Miscellaneous
ATVI,Technology
ADBE,Technology
AMD,Technology
GOOGL,Technology
GOOG,Technology
ADI,Technology
ANSS,Technology
ADSK,Technology
ADP,Technology
AVGO,Technology
CA,Technology
CERN,Technology
CSCO,Technology
CTXS,Technology
CTSH,Technology
CSRA,Technology
DOV,Technology
DXC,Technology
ETN,Technology
EA,Technology
FFIV,Technology
FB,Technology
FISV,Technology
HPE,Technology
INFO,Technology
ITW,Technology
INTC,Technology
IBM,Technology
IPG,Technology
INTU,Technology
JNPR,Technology
LLL,Technology
LRCX,Technology
MCHP,Technology
MU,Technology
MSFT,Technology
MSI,Technology
NTAP,Technology
NVDA,Technology
OMC,Technology
ORCL,Technology
PNR,Technology
QRVO,Technology
QCOM,Technology
RHT,Technology
RHI,Technology
CRM,Technology
STX,Technology
SWKS,Technology
SYMC,Technology
SNPS,Technology
TXN,Technology
TRIP,Technology
URI,Technology
VRSN,Technology
VRSK,Technology
WDC,Technology
XRX,Technology
XLNX,Technology
ALK,Transportation
AAL,Transportation
CHRW,Transportation
CSX,Transportation
DAL,Transportation
EXPD,Transportation
FDX,Transportation
JBHT,Transportation
KSU,Transportation
NSC,Transportation
LUV,Transportation
UNP,Transportation
UAL,Transportation
UPS,Transportation
